,Product Name,Price,Product Link,Product Image,Items Sold
14,Baby Fetal Hair Souvenir DIY Homemade Glass Furnishing Article Hair Baby Boy and Baby Girl Milk Teeth Umbilical Cord Collection Bottle Preservation Gift,$15.00,https://www.lazada.sg/products/baby-fetal-hair-souvenir-diy-homemade-glass-furnishing-article-hair-baby-boy-and-baby-girl-milk-teeth-umbilical-cord-collection-bottle-preservation-gift-i1961769445-s10542954790.html?search=1,https://filebroker-cdn.lazada.sg/kf/Sa65ead16ecdf4246bb00fc0a312cd76a4.jpg,No Information
15,Newborn Baby Fetal Hair Souvenir DIY Homemade Baby Fetal Hair Breast Teeth Umbilical Cord Storage Case Collection Bottle Decoration Gift,$15.20,https://www.lazada.sg/products/newborn-baby-fetal-hair-souvenir-diy-homemade-baby-fetal-hair-breast-teeth-umbilical-cord-storage-case-collection-bottle-decoration-gift-i1961811147-s10542970592.html?search=1,https://filebroker-cdn.lazada.sg/kf/S372860b7dca14c3c9f7b10fcf9a12862b.jpg,No Information
16,Boyue T80d Likebook Mars 7.8-Inch Students Hand Touch Student E-book Android Reader,$362.10,https://www.lazada.sg/products/boyue-t80d-likebook-mars-78-inch-android-hand-touch-student-e-book-reader-electric-book-reader-i2003870570-s10887137681.html?search=1,https://filebroker-cdn.lazada.sg/kf/Sd3ba06a3d57843fb9f1530aabbefd36ck.jpg,No Information
17,Little Feet Lanugo Pendant Glass Crystal Fetal Hair Pendant Lanugo Seal Baby Souvenir DIY Dolphin Love Zodiac Pendant,$9.40,https://www.lazada.sg/products/little-feet-lanugo-pendant-glass-crystal-fetal-hair-pendant-lanugo-seal-baby-souvenir-diy-dolphin-love-zodiac-pendant-i1961991715-s10545098717.html?search=1,https://filebroker-cdn.lazada.sg/kf/S89e8f0cabb734cd5a855e182227d48eed.jpg,No Information
18,Acer Aspire 5 A515-56-55UH (Silver) 15.6 Inches FHD Laptop with latest 11th Gen i5-1135G7 Processor,$898.00,https://www.lazada.sg/products/acer-aspire-5-a515-56-55uh-silver-156-inches-fhd-laptop-with-latest-11th-gen-i5-1135g7-processor-i1245298953-s5098022458.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/101673b36f7df398c0ffaf476bde2b30.jpg,50 sold
19,[WIN11-BestDeal] Lenovo ldeaPad Slim 3i 14IML05 | 14inch FHD 1920x1080 220nits | Intel Core i5-10210U | 8GB RAM | 512GB SSD | Win11 Home | 1Y Lenovo Warranty,$829.00,https://www.lazada.sg/products/win11-bestdeal-lenovo-ldeapad-slim-3i-14iml05-14inch-fhd-1920x1080-220nits-intel-core-i5-10210u-8gb-ram-512gb-ssd-win11-home-1y-lenovo-warranty-i669222810-s10944493525.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/bbf37cb142bd8eafde51328f58b81a36.jpg,8 sold
20,[Latest 2021 Model] Acer Aspire 1 A114-33-C2B0/C68Y(Pink/Silver) Laptop - Preloaded 1 Year Microsoft Office 365 Personal,$418.00,https://www.lazada.sg/products/latest-2021-model-acer-aspire-1-a114-33-c2b0c68ypinksilver-laptop-preloaded-1-year-microsoft-office-365-personal-i338666332-s9289659831.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/78f3bae0a970ef61a36779b9a643c311.jpg,221 sold
21,[NEW MODEL] [NVIDIA RTX 3050 GRAPHIC and Ryzen 5 5600U] Acer Swift X SFX14-41G-R7K2 14-Inch FHD IPS 100%sRGB Laptop | Ryzen 5 5600U | NVIDIA RTX 3050 Graphic | 16GB RAM | 1TB SSD,"$1,998.00",https://www.lazada.sg/products/new-model-nvidia-rtx-3050-graphic-and-ryzen-5-5600u-acer-swift-x-sfx14-41g-r7k2-14-inch-fhd-ips-100srgb-laptop-ryzen-5-5600u-nvidia-rtx-3050-graphic-16gb-ram-1tb-ssd-i1914378804-s10243044777.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/eac779ff1f4f42443a2b1e8f857faa18.jpg,No Information
22,[NEW MODEL] Acer Aspire 5 A515-56-56W9 (Black) 15.6 Inches FHD Laptop with latest 11th Gen i5-1135G7 Processor,$898.00,https://www.lazada.sg/products/new-model-acer-aspire-5-a515-56-56w9-black-156-inches-fhd-laptop-with-latest-11th-gen-i5-1135g7-processor-i1277918332-s5286072969.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/ba0f58e5044dfec67658005a8c2fd579.jpg,35 sold
23,[2021 NEW MODEL] Acer Swift 1 SF114-34-P8PS 14 Inch FHD IPS Thin and Light Laptop | 8GB LPDDR4X RAM,$748.00,https://www.lazada.sg/products/2021-new-model-acer-swift-1-sf114-34-p8ps-14-inch-fhd-ips-thin-and-light-laptop-8gb-lpddr4x-ram-i1621244482-s7615684084.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/7a85517a859cc70dff1a26700f1de161.jpg,11 sold
