,Product Name,Price,Product Link,Product Image
0,TP Link Deco X20 AX1800 6 Mesh Whole Home WiFi System 3 Pack 5800 Sqft TPLink,S$300.00,https://www.lazada.sg/products/free-gifthp-probook-6570b-c4r43usaba-notebook-i5-i7-256g-ssd3320m-260ghz-intel-hd-graphics-4000-156-windows-7-professional-64-bit-i1956543378-s10497454431.html?search=1,https://gd.image-gmkt.com/li/699/013/1589013699.g_100-w-st_g.jpg
,,,https://www.lazada.sg/products/acer-aspire-3-a314-35-c4d2-14-inches-fhd-laptop-celeron-n5100-8gb-ram-256gb-ssd-storage-i2029673659-s11074024311.html?search=1&freeshipping=1,
,,,https://www.lazada.sg/products/free-32gb-ramfree-logitech-headset-lenovo-legion-5-pro-82jq00adsb-gaming-laptop-ryzen-7-5800hrtx-3060w103yexclusive-i1823068040-s10902764961.html?search=1&freeshipping=1,
,,,https://www.lazada.sg/products/windows-11-acer-swift-5-sf514-55t-552t-14-inches-fhd-ips-touch-display-laptop-11th-gen-intel-i5-1135g7-processor-i1400454459-s6337260361.html?search=1&freeshipping=1,
